Rank,State,Abbreviation,Data
1,Minnesota,MN,0.44
2,Montana,MT,0.42
3,Colorado,CO,0.41
4,Oregon,OR,0.39
5,Maine,ME,0.36
6,Iowa,IA,0.35
7,Washington,WA,0.35
8,Georgia,GA,0.34
9,Massachusetts,MA,0.33
10,Michigan,MI,0.33
11,New Jersey,NJ,0.33
12,Virginia,VA,0.33
13,Florida,FL,0.32
14,Connecticut,CT,0.31
15,California,CA,0.3
16,Maryland,MD,0.3
17,Missouri,MO,0.3
18,Pennsylvania,PA,0.3
19,Delaware,DE,0.29
20,Vermont,VT,0.29
21,Nevada,NV,0.28
22,Illinois,IL,0.27
23,Kentucky,KY,0.27
24,Ohio,OH,0.27
25,Arizona,AZ,0.26
26,Kansas,KS,0.26
27,Nebraska,NE,0.26
28,North Carolina,NC,0.26
29,Texas,TX,0.26
30,Idaho,ID,0.25
31,Indiana,IN,0.24
32,Alabama,AL,0.23
33,Rhode Island,RI,0.23
34,South Dakota,SD,0.23
35,Louisiana,LA,0.22
36,New Mexico,NM,0.22
37,Tennessee,TN,0.22
38,South Carolina,SC,0.21
39,West Virginia,WV,0.19
40,Oklahoma,OK,0.18
41,Arkansas,AR,0.17
42,Utah,UT,0.17
43,New York,NY,0.16
44,Alaska,AK,NA
45,District of Columbia,DC,NA
46,Hawaii,HI,NA
47,Mississippi,MS,NA
48,New Hampshire,NH,NA
49,North Dakota,ND,NA
50,Wisconsin,WI,NA
51,Wyoming,WY,NA
